German, English
ich,I
sie,she
das,the
ist,is
du,you
nicht,not
die,the
und,and
es,it
der,the
was,What
wir,weather
er,he
zu,to
ein,a
in,in
mit,with
mir,me
den,the
wie,how
ja,yes
auf,on
mich,me
so,so
eine,one
aber,but
hier,here
sind,are
für,for
von,from
haben,have
hat,Has
dich,you
war,was
dass,that
wenn,if
an,at
da,there
nein,no
bin,am
noch,still
dir,to you
nur,only
habe,have
ihr,your
sich,themselves
einen,a
uns,US
hast,have
dem,to the
ihn,him
aus,the end
kann,can
gut,Well
auch,even
schon,beautiful
jetzt,now
im,in the
sein,be
mal,times
dann,then
meine,my
als,as
um,around
mein,my
doch,but
bist,are you
wird,will
keine,no
nach,after
alles,All
man,One/you/they/people (Indefinite person)
lch,l
oder,or
nichts,nothing
wo,Where
werden,will
weiß,White
will,want
geht,goes
mehr,more
warum,why
hab,have
ihnen,them
bitte,You're welcome
etwas,some
bei,at
muss,got to
los,Come on
immer,always
oh,Oh
vor,before
mann,man
zum,to the
wieder,again
sehr,very
sehen,see
sagen,to say
also,so
gehen,walk
wer,who
alle,Everyone
denn,because
machen,do
ihm,him
können,can
diese,these
komm,come over
danke,thanks
euch,you
einem,one
tun,to do
einer,one
gibt,gives
nie,never
über,above
des,of
soll,target
kein,no
vielleicht,perhaps
weg,path
deine,yours
wissen,to know
am,at the
werde,will
leben,Life
kommen,come
kommt,comes
müssen,have to
viel,much
wirklich,really
frau,Mrs
hatte,would have
heute,today
ok,OK
willst,want
dein,your
würde,would
tut,does
ihre,their
ganz,quite
zeit,Time
bis,until
wollen,want
einfach,simple
macht,power
gott,God
zurück,return
nun,well
weil,because
damit,in order to
dieser,this
kannst,can
wurde,became
gesagt,said
wäre,were
seine,his
wollte,wanted to
na,n / A
zwei,two
hallo,Hello
meinen,say
sicher,for sure
weißt,know
sir,sir (title)
morgen,morning
ab,away
leid,suffering
lassen,permit
waren,was
zur,to the
lass,let
e,a / an
geld,money
liebe,love
tag,Day
leute,people
vater,father
genau,precisely
sagte,said
hätte,would have
mach,do
raus,Out
durch,by
lhr,your
könnte,could
schön,Nice
wohl,well
gesehen,seen
keinen,none
klar,clear
glaube,faith
her,here
okay,OK
mutter,mother
sag,say
dieses,this
nacht,night
besser,better
ohne,without
unsere,our
jemand,someone
sei,may be
reden,talk
gerade,just
ob,if
gehört,heard
geh,go
möchte,would like to
dort,there
sagt,says
anderen,others
gemacht,made
hör,listen
sollte,should
selbst,self
diesen,this
gute,quality
dachte,thought
paar,pair
weiter,Further
vom,from the
ins,into the
herr,Mr
wirst,will
geben,give
ordnung,order
passiert,happened
meiner,mine
lange,Long
gar,at all
mädchen,girl
meinem,my
hören,hear
sieht,sees
daß,that
guten,good
hin,there
gleich,same
ach,Oh
diesem,this
freund,friend
seit,since
welt,world
musst,have to
hause,home
natürlich,Naturally
abend,evening
angst,anxiety
drei,three
recht,Law
richtig,correct
viele,many
deinen,yours
finden,Find
wieso,how come
bleiben,stay
tot,dead
unter,under
junge,Boy
haus,House
rein,pure
essen,eat
davon,of that
nehmen,to take
sollen,should
helfen,help
schnell,fast
machst,do
eines,one
andere,other
unser,our
warte,wait
wegen,because
menschen,people
stimmt,Right
dafür,Therefore
darf,allowed
kinder,children
genug,enough
sonst,otherwise
ganze,whole
scheiße,crap
he,hey
halt,stop
sollten,should
zusammen,together
gegen,against
jahre,years
erst,first
denke,think
steht,stands
habt,have
verdammt,Damn it
moment,moment (same as English)
ihren,their
glauben,believe
bringen,bring
gib,give
seid,are
niemand,nobody
warten,wait
brauchen,to need
lhre,your
fragen,ask
arbeit,job
wann,when
heißt,called
sprechen,speak
siehst,see
jeder,everyone
kam,came
sofort,immediately
getan,did
fertig,done
kennen,know
einmal,once
sohn,son
halten,keep
dabei,included
hatten,had
männer,men
kind,child
jahren,years
beim,at the
seinen,his
mag,like
komme,come
allein,alone
bevor,before
bruder,brothers
musik,music
wahr,true
konnte,could
lieber,rather
uhr,clock
kopf,head
sache,Thing
gern,gladly
denken,think
brauche,need
ende,end
später,later
gehe,go
vergessen,forget
runter,down
fahren,travel
sieh,see
warst,were
stadt,city
namen,names
problem, problem (same as english)
sehe,see
augen,eyes
gab,gave
dank,thanks to
sage,legend
würden,would
eins,one
daran,to it
dazu,to
egal,no matter
frage,question
weit,far
familie,family
sterben,die
könnten,could
jungs,guys
jeden,every
minuten,minutes
verstehe,understand
deiner,yours
hilfe,help
beide,both
bald,soon
all,Alles
deinem,your
nimm,take
kleine,small
baby,infant
glück,happiness
freunde,friends
wusste,knew
verrückt,crazy
ruhig,quiet
land,country
darüber,about that
gefunden,found
tür,door
mache,make
seiner,his
wasser,water
auto,automobile
sah,saw
dies,this
eigentlich,actually
eure,your
ruhe,Quiet
stehen,stand
hand, Hand (Bodypart)
ihrer,of their
frauen,women
meinst,mean
töten,kill
fall,case
ging,went
polizei,police
vorbei,past
krieg,war
je,ever
darauf,thereon
vielen,many
letzte,last
lang,long
bisschen,little
dran,your turn
hoch,high
kenne,know
fast,nearly
ganzen,entire
schau,look
sogar,even
spielen,to play
wurden,became
hinter,Behind
teufel,Devil
dinge,things
keiner,none
mama,mummy
spät,late
bekommen,receive
oben,above
name,Surname
hört,hears
hätten,would have
bereit,ready
drin,inside
neue,new
kommst,come
woher,where
ihrem,her
wagen,dare
arbeiten,work
verstehen,to understand
jahr,year
tod,death
etwa,approximately
echt,real
seinem,his
geschichte,story
bringt,brings
braucht,needs
treffen,meet
toll,Great
gerne,gladly
draußen,outdoors
fünf,five
lhnen,yours
zimmer,room
job,job (same as english)
nett,kind
weiss,White
the,the (same as english)
spiel,game
verstanden,Understood
miss,miss (same as english)
große,size
anders,different
sorgen,care for
welche,Which
einzige,only one
Art, manner (of doing things) / type of something
liegt,lies
verloren,lost
ahnung,idea
vier,four
alter,age
gekommen,came
jemanden,someone
gehst,go
woche,week
kerl,Guy
hi,Hi
john,John
gestern,yesterday
wenig,little
bestimmt,certainly
kurz,short
überhaupt,at all
finde,find
darum,therefore
tage,days
erste,first
schwester,sister
schwer,heavy
suchen,Looking for
bleibt,remain
tochter,daughter
typ,Type
guter,goods
gewesen,been
grund,reason
zeigen,demonstrate
film,Movie
schlecht,bad
schatz,sweetheart
deshalb,for this reason
holen,to fetch
hoffe,hope
tu,do
sagst,say
bett,bed
muß,got to
seite,page
gefällt,pleases
eben,just
lasst,leaves
gefallen,please
stunden,hours
herz,heart
wohin,where
trinken,to drink
letzten,last
mensch,person
ersten,first
unten,below
gesicht,face
versuchen,try
wort,word
denen,those
verlassen,leaving
endlich,at last
denkst,think
solltest,should
schlafen,sleep
ziemlich,quite
jack,Jack
dollar,dollar
arsch,ass
manchmal,sometimes
fest,fixed
wiedersehen,see you again
beste,best
kleinen,small
kriegen,get
läuft,runs
wahrheit,truth
zwischen,between
niemals,No way
bring, to bring (bringen)
unserer,our
nehme,take
allen,all
während,while
glaubst,believe
ding,thing
idee,idea
wollten,wanted to
lässt,leaves
musste,had to
sachen,Things
ah,Ah
bleib,stay
kleiner,smaller
euer,your
nummer,number
sondern,but
frei,free
oft,often
entschuldigung,Excuse me
wen,whom
ernst,serious
alte,old
schule,school
ort,location
erzählt,told
anderes,other
new,new (same as english: obsolete spelling)
alt,old
chance, Chance (same as english)
einige,some
bloß,just
entschuldigen,to apologize
setzen,set
bedeutet,means
erzählen,tell
feuer,Fire
pass,passport
würdest,would
schuld,blame
getötet,killed
jungen,boys
drauf,on it
platz,place
wären,would be
tust,do
papa,father
spaß,fun
versucht,tries
wichtig,important
besten,best
sorge,worries
kennst,know
hund,dog
blut,blood
hierher,here
reicht,enough
alten,old
wär,would be
glücklich,happy
brauchst,need
hände,hands
unseren,our
hättest,would have
kaum,barely
rede,speech
zuerst,first
stellen,place
beiden,both
falls,if
früh,early
wartet,waiting
neuen,new
sechs,six
jede,every
freundin,girlfriend
lieben,love
teil,part
stunde,hour
langsam,slow
scheint,appears
früher,previously
großen,huge
waffe,weapon
telefon,phone
himmel,sky
lernen,to learn
äh,Ah
zehn,ten
gedacht,thought
willkommen,welcome
frank, (to be frank with someone: almost exclusively used in frank und frei)
luft,air
licht,light
hol,get
seht,look
menge,lot
voll,fully
überall,all over
tat,did
erde,Earth
gebe,give
ruf,call
möglich,possible
spricht,speaks
könig,king
eltern,parents
außer,except
nächsten,next
ziehen,draw
wahrscheinlich,probably
wollt,want
dürfen,to be allowed to
nennen,to name
falsch,not correct
ehrlich,honest
irgendwas,anything
nächste,next
wochen,weeks
meines,mine
herren,Men's
straße,Street
hm,Hm
heiraten,marry
stück,piece
doktor,doctor
neues,new
gegeben,given
kaffee,coffee
möchten,want
verstehst,understand
krank,ill
danach,thereafter
geworden,become
arzt,doctor
schaffen,create
stelle,Job
groß,great
wem,whom
hölle,hell
völlig,fully
weh,sore
fehler,failure
drüben,over there
büro,office
Kapitän, captain
rufen,call
irgendwie,somehow
eigenen,own
probleme,problems
allem,everything
mr,mr/hr/mister/herr
wert,value
tue,do
buch,a book
lebt,lives
scheiß,shit
kaufen,to buy
erinnern,recall
direkt,direct
laufen,to run
george,George
trotzdem,despite this
schreiben,to write
still,quiet
kleines,little one
körper,body
retten,save
fand,found
unserem,our
solche,such
denkt,thinks
könnt,can
alleine,alone
sitzen,sit
höre,hear
millionen,millions
tagen,meet
york,York
suche,seek
vergiss,forget
gutes,good
leider,Unfortunately
sagten,said
typen,types
schlüssel,key
tragen,wear
mund,mouth
worden,been
hält,holds
zwar,though
bereits,already
leicht,easy
spielt,plays
schiff,ship
hörst,hear
lhren,yours
onkel,uncle
glaub,believe
verlieren,lose
großer,greater
klingt,sounds
irgendwo,somewhere
zukunft,future
kennt,knows
plan,plan
schöne,lovely
verschwinden,disappear
interessiert,Interested
waffen,weapons
kämpfen,battle
bringe,bring
hinten,rear
setz,set
kumpel,Dude
wolltest,wanted
boden,floor
General,general
zeig,show
böse,angry
halte,hold
gegangen,went
richtige,right one
liebling,Darling
acht,eight
froh,joyful
machte,made
jedes,each
hart,hard
vorsichtig,carefully
versuch,attempt
getroffen,met
mögen,to like
zeug,things
damals,back then
stimme,voice
gefühl,feeling
leuten,people
lesen,read
mist,damn
zug,train
hattest,had
verdammte,damn it
geschäft,shop
arschloch,asshole
Rest,rest
de,the
aufhören,stop
könntest,could
klasse,Great
lasse,let
boss,boss
erklären,explain
fliegen,to fly
laden,load
stolz,proud
stark,strong
hasse,hate
wohnung,apartment
gebracht,brought
fort,away
genauso,just like that
mai,May
entschuldige,Excuse me
besonders,particularly
seien,be
tages,day
weniger,fewer
zieh,pull
ärger,trouble
fühle,feel
schauen,look
idiot,idiot
o,O
schneller,more quickly
denk,think
geschafft,made
verzeihung,forgiveness
tja,well
schicken,send
erwartet,expected
nachricht,news
findet,finds
funktioniert,functions
werd,will
stand,was standing
traum,dream
sollst,should
fallen,fall
wovon,About what
gefängnis,jail
aufs,onto
hotel,hotel
krankenhaus,hospital
umbringen,kill
fällt,falls
redest,talk
weisst,know
gottes,god
total,total
fenster,window
lebens,life
glaubt,believes
vorstellen,introduce
and,other
sinn,sense
ändern,change
versuche,try
heraus,out
heißen,mean
tanzen,to dance
monate,months
lachen,laugh
kampf,struggle
nachdem,after this
arm,poor
wenigstens,at least
geschehen,happen
hörte,heard
kamen,came
passt,fits
liebt,loves
folgen,follow
eher,rather
gefragt,asked
dumm,stupid
deswegen,because of this
solange,so long
lustig,fun
starb,died
unmöglich,not possible
bild,image
boot,boat
genommen,taken
dame,lady
führen,to lead
unglaublich,incredible
vertrauen,to trust
verletzt,hurt
passieren,happen
cool,cool
meisten,most
vorher,before
plötzlich,suddenly
angerufen,called
bewegung,Move
kümmern,To take care of
rüber,over
komisch,funny
paris,Paris
super,Super
sieben,seven
erinnere,remember
lhrer,yours
ne,no
rufe,shout
bier,beer
augenblick,moment
herum,hereabouts
kalt,cold
wunderbar,Marvelous
großartig,Great
wahl,choice
auge,eye
fahr,drive
konnten,could
länger,longer
tisch,table
rum, around (colloquial form of herum)
antwort,answer
jedem,each
david,David
arme,poor
umgebracht,killed
schlimm,terrible
verheiratet,married
steh,stand
anrufen,call
worte,words
möchtest,want
vorsicht,caution
hilf,help
bezahlt,paid
voller,full of
links,Left
sekunden,seconds
werdet,will
wärst,would be
liegen,lie
fühlen,feel
nochmal,once again
armee,army
bitten,ask
gestorben,died
Finger,finger
meinung,opinion
nimmt,takes
zahlen,counting
sicherheit,safety
verkaufen,Selling
gesprochen,spoken
wozu,what for
müde,tired
seele,soul
welcher,which
schießen,shoot
michael,Michael
arbeite,work
sitzt,sits
to,to
sonne,Sun
damen,ladies
laß,let
bezahlen,pay
selber,himself
reise,trip
team,team
sobald,as soon as
meister,master
majestät,majesty
anfang,Beginning
fangen,catch
außerdem,aside from that
geschrieben,written
sex,sex
hole,get
kriegt,gets
yeah,yeah
magst,like
laut,according to
Zieger, Hand (For the Clock)
art, Kunst
Partei, political party
party,party