Icelandic, English
ég,I
að,to
er,is
það,that
ekki,not
í,in/to/for/over
og,and
þú,you
við,we
á,river
hann,he
þetta,this
hvað,what
sem,as/like
mér,me
til,to
með,with
þér,you
en,how
fyrir,for
af,of
um, about/through/around
þig,you
var,was
mig,me
því,because
já,yes
hún,she
nei,no
allt,everything
þá,then
ef,if
eru,are
bara,just
ert,are
svo,then
þeir,they
þið,you
okkur,U.S
eftir,after
ertu,are you
eins,as
vera,to be
hér,here
gera,to do / to make
lagi,OK
veit,know
hefur,has
nú,now
frá,from
þegar,when
hvernig,how
fara,to go
honum,to him
út,out
hef,have
verður,will be
aftur,again
upp,up
ekkert,nothing
vel,well
þessu,this
verið,been
minn,mine
sé,see
svona,like this
hver,each
hana,her
ykkur,you
eða,or
vil,want
hverju,which
komdu,come
get, can / to be able
segja,say
úr,from
hvar,where
erum,are
aldrei,never
hafa,have
eitthvað,something
hérna,here
gott,good
maður,man
viltu,do you want
hjá,at
þau,they
fá, to receive / to get / to give
getur,can
sagði,said
koma, to come
inn, in/inside
okkar,our
þarna,there
núna,now
herra,sir
kannski,maybe
mín,min
þarf,need
þar,there
hans,his
tala, speech/number/button
þeim,them
þess,its
þín,yours
takk,thanks
farðu,go away
henni,her
væri,would be
þinn,your
fer,goes
líka,too
sjá,see
rétt,right
áfram,continue
held,think
sér,see
kemur,comes
mjög,very
gert,done
verð,price
þessi,that
vegna,because of
saman,together
sá,to sow / the one / that / such
enn,still
þakka,thank you
einn,one
komið,come
gæti,could
allir,everyone
alltaf,always
of,too (much)
enginn,none
kom,came
skal,shall
vita,to know / to check
yfir,over
má, to allow/ may / to blur
farið,gone
ætla,intend
dag,day
hafi,Have
förum,went
þær,then it's
veistu,do you know
hingað,here
heldur,rather
niður,down
hefði,would have
sig,himself
mitt, my/mine
mikið,a lot
átt,direction
pabbi,dad
segðu,say
höfum,have
bíddu,wait
sama,same
láttu,let
einhver,someone
guð,god
heim,home
aðeins,only
áður,before
segir,says
þessa,this
getum,can
fyrirgefðu,sorry
mamma,mom
vertu,be
tíma,time
finnst,feel
góður,good
meira,more
vill,wants
vildi,wanted
gerðu,do
þitt,yours
verðum,must
eitt,one
satt,true
hefurðu,do you have
stað,place
verða,become
taka,to take
fór,went
jæja,well
veist,knows
halda,hold
hvert,each
ykkar,yours
alla,all
mun,will
annað,other
voru,were
gerir,does
sjáðu,see
leið,way
sagt,said
fram,forward
vilt,want
séð,seen
hvaða,which
láta,let
menn,men
gerði,did
öll,all
fólk,people
kvöld,evening
elskan,Darling
hvort,whether
myndi,would
ó,oh
einu,one
fjandinn,damn
vinur,friend
ár,years
síðan,since
geri, to do / yeast / rotting
hennar,her
hélt,thought
hættu,stop
eina,one
halló,hello
pú,pu
þessum,these
ætti,should
vissi,knew
auðvitað,of course
sinni, disposition / mind / opinion
þeirra,their
eruð,are
mína,mine
alveg,completely
þannig,thus
strax,immediately
þína,yours
drepa, to beat / hit / kill
reyna,try
þennan,this one
vinna,work
skil,understand
án,with out
finna,find
neitt,nothing
langar,wants
morgun,morning
viss,certain
undir,under
geturðu,can you
engin,Noone
taktu, to take
öllum,all
áttu,do you have
hvers,whose
hæ,Hi
gengur,walks
hugsa,think
heyrðu,listen
kem,come
mínum,my
einmitt,exactly
frú,miss
haltu,hold
fimm,five
elska,love
heldurðu,do you think
þangað,there
lengi,long time
varð,became
eigum,own
virðist,seems
hvenær,when
fékk,got
varst,were
segi,say
ná,to reach / get
vilja,will
góða,good
gaman,fun
þarft,need
kominn,arrived
komast,to come
lengur,longer
sæll,hello
lífi,live
eiga, to have / to have to (do something) / to own / to be said to be
mann,man
gerðist,happened
burt,away
líður,feels
þetta, this / that / Sometimes used in sentence þetta
átti,had
inni,inside
þínum,your
þurfum,need
frábært,great
þykir,is considered
öllu,all
leitt,sorry
fyrst,first
fyrsta,first
geta, can / to be 
handa, for
betur,better
ætlarðu,are you going
hafði,had
hægt,possible
jú,Yes
héðan,from here
hjálpa,help
fyrr, earlier / before
illa,badly
hitta,find
málið,the case
alvöru,real
nóg,enough
góð,good
einhvern,someone
sinn,his
nótt,night
èg, I
víst,sure
áhyggjur,worries
nema, to study / learn / unless (as conjunction)
ára,years
komum,come
daginn,day
ferð,trip
mál,case
ein,alone
gegn,against
hlýtur,must
sjálfur,self
fengið,gotten
búinn,finished
hafið,sea
langt,far
annars,otherwise
leita,search
tveir,two
ættir,should
heiti,name
haldið,held
heima,home
erfitt,difficult
orðið,the word
enga,none
líf,life
engar,no
minni,memory
faðir,father
deyja,die
mátt,power
gat, hole / break / (from verb geta) can
hve,how
à, river / on / in / at
skiptir,matters
samt,as well as
mínu,my
máli,case
mínútur,minutes
hætta,stop
gerum, to do / to make (from verb gera)
sýna,show
tekur,takes
spyrja,ask
meðan,while
heyra,hear
tvö,two
gefa,give
bless, goodbye 
skilurðu,do you understand
heitir,called
vorum,were
mínir,mine
ætlar,is going to
klukkan,the clock
kann,knows
hvern,whom
fær, to be able (to do smth) / talented / good (at smth)
maðurinn,the man
gerast,happened
gangi,walk
allar,all
fæ,get
sagðir,said
ganga, to walk / operate / to go (how well smth is going)
vantar,missing
fínt,fine
tíu,ten
komst,arrival
nokkuð,anything
stundum,sometimes
baka,bake
lítur,looks
hjálp,help
tók,took
skjóta,shoot
alls,all
uppi,upstairs
sért,are
sérðu,you see
góðan,good
látið,let
sex, six / sex
stendur,stands
gerist,happens
þinni,yours
fann,found
færð,get
heyrt,heard
nota,note
trúi,believe
skilið,understood
allan,all
líkar,similar
afsakið,sorry
engan,no one
fleiri,more
mömmu,mom
þótt,although
líklega,probably
kona, woman / wife
manni, person / one / man / husband / chesspiece (context is important)
þessari,this one
segirðu,you say
sjáumst,see you later
jafnvel,even
hlustaðu,listen
úti,outside
árum,years
verði,will be
tvær,cross
þekki,know
bílinn,the car
man, to remember / to dare to do
hefðir,traditions
fannst,thought
hugmynd,idea
afsakaðu,sorry
lokið,finished
milli, between
daga,from
konan,the woman
varstu,were you
kemst, to come (from v. koma)
tekið,taken
sú, to sow / the one / that / such
yrði,should
sonur, son
byrja,start
bíða,wait
tími,time
búið,done
tvo,two
leyfðu,allow
hví,why
nógu,enough
fjandans,damn
manstu,remember
besta,the best
félagi,partner
þó,though
værir,would be
engu, no one / nobody / nothing
betra,better
ha, what? (interj.)
eigin,own
hafðu,have
annan,another
kalla,call
næstum,almost
hátt,high
vitum,we know
beint,directly
dálítið,a bit
peninga,money
konu,woman
þig, you
sæl,Hello
orð,words
undan, from beneath / away
kyrr,still
utan,outside
strákar,boys
ættum,should
hverjum,who
smá,a little
þýðir,means
miklu,much
þínu,yours
myndir,pictures
litla,small
sjáið,see
helvítis,damn
seinna,later
hringja,call
hluti,part
svolítið,a little
vinir,friends
nafn,name
komin,arrived
bróðir,brother
settu,put
borða,eat
viku,week
pabba,dad
dali, valley
annar,another
frekar,rather
miður,sorry
gegnum,through
fjárinn,the money
strákur,boy
skulum,shall
þegiðu,shut up
sagðirðu,you said
finn, fine (to be / to look ...)
varlega,carefully
dr, dr (doctor)
bjarga,rescue
ætlaði,was going to
átta,eight
hversu,how
nær,closer
borga,pay
gerðir,types
tek, to take (from v. taka)
barn,children
skilja,divorce
geti,can
lítið,little
rólegur,quiet
gætir,could
hræddur,scared
lét,let
tilbúinn,ready
öðrum,others
ræða,case
sína,show
hlusta,listen
þessar,these
burtu,away
meiri,more
börn,children
horfa,watch
hinn,the other
flott,cool
staðar,present
þúsund,thousand
reyndu,try
náði,caught
vonandi,hopefully
mynd,photo
fáum,get
þrír,three
síðasta,last
gefðu,give
slepptu,release
aðra,other
meina,mean
talað,spoken
viljum,want
margir,many
kenna, to teach / to blame / to feel 
fáðu,get
peningana,money
læt,let
dauður,dead
ókei,okay
betri,better
konur,women
dó,died
næst,next
hafir,have
stór,large
hug,mind
færðu,you get
séu,are
von, hope
nýja,new
tókst,succeeded
vona,hope
best, best (superlative of vel/well)
sagðist,said
síðar,later
sínum,their
reyndi,tried
næsta,next
ja,yes
lífið,life
skipti,exchange
sendi,send
mistök,mistake
líta,look
búin,done
fallegt,beautiful
hamingju,happiness
reyndar,actually
viljið,want
það, it / that / one / there
lifa,live
margt,many
nálægt,close
sestu, to put / place / decide 
takið,take
niðri,down
bílnum,the car
gaf,gave
gamla,old
slæmt,bad
talar,speaks
virkilega,really
skilur,understands
heyrði,heard
setja,set
vinstri,left
fröken,miss
getað,can
bjóða,offer
lætur,lets
hvao,what
borð,table
eiginlega,actually
þessir,these
búa,create
tækifæri,opportunity
leiðinni,the way
gekk,walked
oft, often
grínast,joking
líttu,look
fundið,found
þekkir,knows
farinn,gone
móti,against
samband,connection
nokkur,some
minna,less
föður,father
standa, to stand / to have an erection 
leika,play
húsið,the House
herrar,gentlemen
þann,that
vini,friends
látum,let
getið,mentioned
mínar,my
náðu,reach
örugglega,indeed
skrifa,write
bað,bath
kaupa,buy
tökum,take
bið,wait
mat, to evaluate
hægri,right
vinnur,works
vinnu,work
gætum,take care
drap,killed
sækja,download
því, therefore / because / why?
þrjú,three
beðið,waited
frábær,great
hjálpað,helped
virði,worth
fréttir,news
fólki,people
haft,had
færi,opportunity
sjö,seven
móðir,mother
áhuga,interest
barnið,the baby
ætlum,we are going
senda, to send
tilbúin,ready
vandamál,problem
önnur,another
bænum,the town
síðustu,last
þurfa,need
nokkra,a few
læknir,doctor
unnið,won
fljótt,soon
einhvers,someone
lesa,read
hjarta,heart
fangelsi,prison
innan,within
sofa, to sleep
framan,in front of
varla,hardly
konar,kind
drepið,killed
ennþá,yet
hringdi,called
falleg,beautiful
stjórn,board
rangt,wrong
réttu,right
fari, passage / ride / to go
lofa, to promise / to praise / to allow
litli, small / little
byssu,gun
ætli,I think
sitt,long
snýst,turns
andskotinn,damn it
komist, to come (from v. koma)
reyni,try
bíðið,wait
númer,number
sjáum,take care
datt,fell
góðu,good
mánuði,months
lögreglan,the police
hljómar,sounds
rétta,right
næstu,next
höldum,hold
biðja,pray
spila,play
hringi,call
heyrirðu,do you hear
hitt,the other
fleira,more
gleymdu,forget
augnablik,moment
hætti,quit
opnaðu,open
ungfrú,miss
sýndu,show
dáinn, dead / to die
ný,new
manns,man
missa,loose
gær,yesterday
ber, berry / bare naked / discovered
almáttugur,almighty
hinum, other / the
vatn,water
tveimur,two
hendur,hands
ofan,above
staðinn,instead
öðru,other
þarfnast,need
mörg,many
leggja,lay
þurfti,needed
fólkið,the people
gamli,old
bíl,car
gamall,old
gefið,given
ótrúlegt,unbelievable
ást,love
hringdu,call
einhverju,something
vann,won
hitti,met
trúa,believe
dyrnar,the door
þarftu,you need
greiða,comb
tímann,time
sæti,seats
vitið,know
sástu,you saw
skipta,switch
sleppa,drop
hús,house
verk,works
berjast,fight
bæði,both
stund,while
hjálpaðu,help
húsinu,the house
líst,list
hrædd,scared
gerið,done
börnin,the children
svara,answer
náð,Grace
mark, to mark / sign
bestu,the best
býr,lives
fjölskyldu,family
sérð,see
herbergi,room
fékkstu,you got
verðið,the price
enda, to finish / to end / to keep a promise (until the end)
frændi,uncle
starf,job
nýtt,new
vildir,wanted
manninn,the man
dagur,day
mikil,great
né,nor
augun,the eyes
pá, at that time / then / when / why?
heyri,hear
hrifinn,fond
fyndið,funny
opna,open
allra,everyones
fyrstu,first
seint,late
dóttur,daughter
bað, bath
eini,only
komstu,you came
bera, to carry / to sustain
talaðu,talk
skaltu,please
munu,will
heiminum,the world
drengur,boy
fjandanum,damn it
þínar,yours
hratt,raw
sinnum,times
móður,mother
kaffi,coffee
lifandi,live
þrjár,three
nokkrum,a few
komu,came
gefur,gives
drottinn,the Lord
hugsaðu,think
friði,peace
besti,best
margar,many
mundu,remember
aftan, from behind
kjaftæði,bullshit
stelpa,girl
finnur,finds
yðar,of you
missti,dropped
komi, to come (from v. koma)
alvara,serious
marga,many
vá,Wow
sekúndur,seconds
stattu, to stand / to have an erection (from v. standa)
einum,one
liðið,the team
næ,get
þínir,yours
litlu, small / little
leit, to search (for smth) / to look / to see
meinarðu,you mean
sko,shoe
heimi,world
finnum,find
úr, watch (clock) / from / out of
byssuna,the gun
komnir,have arrived
sannarlega,truly
reynir,tries
megin,side
bak, back
drekka,drink
gengið,Walked
staður,site
mikill,much
elskar,loves
milljónir,millions
sambandi,relationship
hata, to hate
hættið,stop
systir,sister
mikla,much
nokkrar,a few
hönd,hand
fylgja,follow
níu,nine
ástin,love
kynnast,become familiar
hvaðan,where
læra,learn
leik,game
sömu,the same
land, land / countryside
væru,would be
þremur,three
bróður,brother
talaði,spoke
finndu,find
nákvæmlega,exactly
míns,mins
snúa,turn
skyldi,should
leyfi,license
slíkt,such
hverjir,who
reynt,tried
neinn,nobody
aðrir,others
nafni,name
sakna,miss
leikur,game
einhverjum,somebody
tilbúnir,ready
giftast,get married
selja,sell
virkar,works
skaut,shot
ágætt,okay
eigið,own
kvöldið,evening
komumst, to come (from v. koma)
sannleikann,the truth
velkominn,welcome
vin,wine
sín, oneself / his / her / their
manna,man
sitja, to sit / attend / to ride / to be in power (ie. sit in office)
óttast,fear
þrjá,three
auðvelt,easy
bíður,waiting
drepur,kills
konuna,the woman
orðinn,has become
sumir,some
óvart,surprise
þátt,episode
gerðirðu,you did
breyta,change
reddast, to turn out well
dæl, to inject / pump
tóm, vacuum / emptiness / space 
sæm, honor / to be proper or fitting